source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,83,Oakland University William Beaumont School of Medicine,Oakland University William Beaumont School of Medicine,https://wwwp.oakland.edu/medicine/admissions/about/,Michigan,,3.85,3.85,MCAT Minimum - 495 MCAT Average - 510,510,MCAT Minimum - 495 MCAT Average - 510,495,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,84,University of Michigan Medical School,University of Michigan Medical School,https://www.cmich.edu/academics/colleges/college-of-medicine,Michigan,,3.87,3.87,MCAT - 518,518,MCAT - 518,518,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,85,Wayne State University School of Medicine,Wayne State University School of Medicine,http://admissions.med.wayne.edu/,Michigan,,3.86,3.86,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,86,Western Michigan University School of Medicine,Western Michigan University School of Medicine,http://med.wmich.edu/admissions,Michigan,,Minimum - 3 Average - 3.79,3.79,MCAT Minimum - 41st percentile rank MCAT Average - 516,516,MCAT Minimum - 41st percentile rank MCAT Average - 516,41,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,88,Mayo Medical School,Mayo Medical School,http://www.mayo.edu/mayo-clinic-school-of-medicine/programs/md/admissions-and-application-process,Minnesota,,3.94,3.94,MCAT - 520,520,MCAT - 520,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,89,University of Minnesota Medical School - Twin Cities,University of Minnesota Medical School - Twin Cities,https://www.med.umn.edu/admissions,Minnesota,,3.81,3.81,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,90,University of Minnesota Medical School - Duluth,University of Minnesota Medical School - Duluth,https://www.med.umn.edu/admissions,Minnesota,,3.65,3.65,MCAT - 503,503,MCAT - 503,503,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,92,University of Mississippi School of Medicine,University of Mississippi School of Medicine,https://www.umc.edu/som/Departments%20and%20Offices/SOM%20Administrative%20Offices/SOM%20Admissions/SOM%20Admissions.html,Mississippi,,3.86,3.86,MCAT - 505,505,MCAT - 505,505,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,94,University of Missouri - Columbia School of Medicine,University of Missouri - Columbia School of Medicine,http://medicine.missouri.edu/admissions/,Missouri,,Minimum - 3 Average - 3.86,3.86,MCAT Minimum - 495 MCAT Average - 509,509,MCAT Minimum - 495 MCAT Average - 509,495,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,95,Saint Louis University School of Medicine,Saint Louis University School of Medicine,http://www.slu.edu/medicine/admissions,Missouri,,3.91,3.91,MCAT - 514,514,MCAT - 514,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,96,University of Missouri - Kansas City School of Medicine,University of Missouri - Kansas City School of Medicine,http://med.umkc.edu/md/apply/,Missouri,,Minimum - 3 Average - 3.89,3.89,MCAT Minimum - 500 MCAT Average - 509,509,MCAT Minimum - 500 MCAT Average - 509,500,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,97,Washington University School of Medicine,Washington University School of Medicine,https://medicine.wustl.edu/education/admissions/#medical-education,Missouri,,3.94,3.94,MCAT - 521,521,MCAT - 521,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,99,Creighton University School of Medicine,Creighton University School of Medicine,https://medschool.creighton.edu/program/Medicine-MD,Nebraska,,3.84,3.84,MCAT - 513,513,MCAT - 513,513,
