cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
269,University of South Carolina School of Medicine - Columbia,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.83;3.81;3.77;3.75;3.77,3.75 - 3.83,0.08,510;509;508;509;508;509,508 - 510,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of South Carolina School of Medicine - Columbia; University of South Carolina School of Medicine - Greenville,published school average GPA and MCAT,3.83; 3.81,510; 509,http://admissions.med.sc.edu/; http://sc.edu/study/colleges_schools/medicine_greenville/admissions/apply.php,,University of South Carolina School of Medicine - Columbia; University of South Carolina School of Medicine - Greenville,published school average GPA and MCAT,3.77; 3.75,508; 509,,source row carried an asterisk,University of South Carolina School of Medicine Columbia; University of South Carolina School of Medicine Greenville,published school average GPA and MCAT,3.77,508; 509,,,,,,,,
270,University of South Dakota Sanford School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.87;3.79,3.79 - 3.87,0.08,509;508.3,508.3 - 509,0.7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of South Dakota Sanford School of Medicine,published school average GPA and MCAT,3.87,509,http://www.usd.edu/medicine/medical-student-affairs/eligibility,,University of South Dakota Sanford School of Medicine,published school average GPA and MCAT,3.79,508.3,,source row carried an asterisk,,,,,,,,,,,,
271,University of South Florida Health Morsani College of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.78;3.96,3.78 - 3.96,0.18,517;520,517 - 520,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of South Florida Health Morsani College of Medicine,published school average GPA and MCAT,3.78,517,http://health.usf.edu/medicine/mdprogram/mdadmissions/,,University of South Florida Health Morsani College of Medicine,published school average GPA and MCAT,3.96,520,,source row carried an asterisk,,,,,,,,,,,,
272,University of Southern California,cycletrack_acceptance_median,1,single_source,3.9,3.9,,518.5,518.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Southern California,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,518.5,https://cycletrack.org/explorer/school/University of Southern California,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
273,University of Tennessee,cycletrack_acceptance_median,1,single_source,3.9,3.9,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Tennessee,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,517,https://cycletrack.org/explorer/school/Tennessee,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
274,University of Tennessee Health Science Center College of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.82;3.83;3.83,3.82 - 3.83,0.01,513;513;513,513 - 513,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Tennessee Health Science Center College of Medicine,published school average GPA and MCAT,3.82,513,https://www.uthsc.edu/Medicine/Admissions/index.php,,University of Tennessee Health Science Center College of Medicine,published school average GPA and MCAT,3.83,513,,source row carried an asterisk,University of Tennessee Health Science Center College of Medicine,published school average GPA and MCAT,3.83,513,,,,,,,,
275,University of Texas (Austin),cycletrack_acceptance_median,1,single_source,3.97;3.96,3.96 - 3.97,0.01,523;516,516 - 523,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Texas (Austin); University of Texas (Houston),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97; 3.96,523; 516,https://cycletrack.org/explorer/school/University of Texas - Austin; https://cycletrack.org/explorer/school/University of Texas - Houston,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
276,University of Texas (Medical Branch),cycletrack_acceptance_median,1,single_source,3.86,3.86,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Texas (Medical Branch),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,516,https://cycletrack.org/explorer/school/University of Texas - Medical Branch,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
277,University of Texas (Rio Grande),cycletrack_acceptance_median,1,single_source,3.83,3.83,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Texas (Rio Grande),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.83,514,https://cycletrack.org/explorer/school/University of Texas - Rio Grande,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
278,University of Texas (San Antonio),cycletrack_acceptance_median,1,single_source,3.95,3.95,,521,521,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Texas (San Antonio),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,521,https://cycletrack.org/explorer/school/University of Texas - San Antonio,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
279,University of Texas (Southwestern),cycletrack_acceptance_median,1,single_source,3.97,3.97,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Texas (Southwestern),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,520,https://cycletrack.org/explorer/school/University of Texas - Southwestern,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
280,University of Texas McGovern Medical School at Houston,prospectivedoctor;shemmassian,2,close_agreement,3.88;3.84,3.84 - 3.88,0.04,513;512,512 - 513,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Texas McGovern Medical School at Houston,published school average GPA and MCAT,3.88,513,https://med.uth.edu/admissions/,,University of Texas McGovern Medical School at Houston,published school average GPA and MCAT,3.84,512,,source row carried an asterisk,,,,,,,,,,,,
281,University of Texas Medical Branch School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.88;3.78;3.8,3.78 - 3.88,0.1,511;512;511,511 - 512,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Texas Medical Branch School of Medicine,published school average GPA and MCAT,3.88,511,https://www.utmb.edu/enrollmentservices/resources/admissions,,University of Texas Medical Branch School of Medicine,published school average GPA and MCAT,3.78,512,,source row carried an asterisk,University of Texas Medical Branch School of Medicine,published school average GPA and MCAT,3.8,511,,,,,,,,
282,University of Texas Rio Grande Valley School of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.72;3.85,3.72 - 3.85,0.13,510;509,509 - 510,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Texas Rio Grande Valley School of Medicine,published school average GPA and MCAT,3.72,510,http://www.utrgv.edu/school-of-medicine/admissions-and-aid/index.htm,,University of Texas Rio Grande Valley School of Medicine,published school average GPA and MCAT,3.85,509,,source row carried an asterisk,,,,,,,,,,,,
283,University of Texas School of Medicine at San Antonio,prospectivedoctor;shemmassian,2,minor_conflict,3.88;3.9,3.88 - 3.9,0.02,517;518.6,517 - 518.6,1.6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Texas School of Medicine at San Antonio,published school average GPA and MCAT,3.88,517,http://som.uthscsa.edu/admissions/,,University of Texas School of Medicine at San Antonio,published school average GPA and MCAT,3.9,518.6,,source row carried an asterisk,,,,,,,,,,,,
284,University of Texas Southwestern Medical School,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.9;3.96;3.89,3.89 - 3.96,0.07,518;517;516,516 - 518,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Texas Southwestern Medical School,published school average GPA and MCAT,3.9,518,http://www.utsouthwestern.edu/education/medical-school/admissions/,,University of Texas Southwestern Medical School,published school average GPA and MCAT,3.96,517,,source row carried an asterisk,University of Texas Southwestern Medical School,published school average GPA and MCAT,3.89,516,,,,,,,,
285,University of Texas at Austin Dell Medical School,prospectivedoctor;shemmassian,2,minor_conflict,3.92;3.93,3.92 - 3.93,0.01,515;517,515 - 517,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Texas at Austin Dell Medical School,published school average GPA and MCAT,3.92,515,https://dellmed.utexas.edu/prospective-students,,University of Texas at Austin Dell Medical School,published school average GPA and MCAT,3.93,517,,source row carried an asterisk,,,,,,,,,,,,
286,University of Toledo,cycletrack_acceptance_median,1,single_source,3.85,3.85,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Toledo,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,513,https://cycletrack.org/explorer/school/Toledo,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
287,University of Utah,cycletrack_acceptance_median,1,single_source,3.89,3.89,,512.5,512.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Utah,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,512.5,https://cycletrack.org/explorer/school/Utah,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
288,University of Vermont,cycletrack_acceptance_median,1,single_source,3.83,3.83,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Vermont,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.83,515,https://cycletrack.org/explorer/school/Vermont,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
289,University of Virginia,cycletrack_acceptance_median,1,single_source,3.95,3.95,,521,521,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Virginia,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,521,https://cycletrack.org/explorer/school/Virginia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
290,University of Washington,cycletrack_acceptance_median,1,single_source,3.85,3.85,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Washington,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,516,https://cycletrack.org/explorer/school/Washington,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
291,University of Wisconsin,cycletrack_acceptance_median,1,single_source,3.8,3.8,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Wisconsin,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.8,515,https://cycletrack.org/explorer/school/Wisconsin,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
292,University of Wisconsin School of Medicine and Public Health,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.8;3.78;3.78,3.78 - 3.8,0.02,513;511;511,511 - 513,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Wisconsin School of Medicine and Public Health,published school average GPA and MCAT,3.8,513,http://www.med.wisc.edu/education/md/admissions/main/102,,University of Wisconsin School of Medicine and Public Health,published school average GPA and MCAT,3.78,511,,source row carried an asterisk,University of Wisconsin School of Medicine and Public Health,published school average GPA and MCAT,3.78,511,,,,,,,,
293,University of the Incarnate Word,cycletrack_acceptance_median,1,single_source,3.8,3.8,,507,507,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of the Incarnate Word,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.8,507,https://cycletrack.org/explorer/school/Incarnate Word,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
294,University of the Incarnate Word School of Osteopathic Medicine,shemmassian,1,single_source,3.6,3.6,,504,504,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of the Incarnate Word School of Osteopathic Medicine,published school average GPA and MCAT,3.6,504,,,,,,,,,,,,,,
295,Vanderbilt University,cycletrack_acceptance_median,1,single_source,3.97,3.97,,523,523,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Vanderbilt University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,523,https://cycletrack.org/explorer/school/Vanderbilt,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
296,Virginia Commonwealth University,cycletrack_acceptance_median,1,single_source,3.85,3.85,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Virginia Commonwealth University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,515,https://cycletrack.org/explorer/school/Virginia Commonwealth,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
297,Virginia Commonwealth University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.82;3.93;3.7;3.85;3.85;3.79,3.7 - 3.93,0.23,513;520;512;518;518;512,512 - 520,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Virginia Commonwealth University School of Medicine; University of Virginia School of Medicine,published school average GPA and MCAT,3.82; 3.93,513; 520,http://www.medschool.vcu.edu/admissions/md/; https://med.virginia.edu/admissions/,,Virginia Commonwealth University School of Medicine; University of Virginia School of Medicine,published school average GPA and MCAT,3.7; 3.85,512; 518,,source row carried an asterisk,University of Virginia School of Medicine; Virginia Commonwealth University School of Medicine,published school average GPA and MCAT,3.85; 3.79,518; 512,,,,,,,,
298,Virginia Tech,cycletrack_acceptance_median,1,single_source,3.8,3.8,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Virginia Tech,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.8,516,https://cycletrack.org/explorer/school/Virginia Tech,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
299,Virginia Tech Carilion School of Medicine,matchguy,1,single_source,3.67,3.67,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Virginia Tech Carilion School of Medicine,published school average GPA and MCAT,3.67,512,,,,,,,,
300,Virginia Tech Carilion School of Medicine and Research Institute,prospectivedoctor;shemmassian,2,close_agreement,3.7;3.67,3.67 - 3.7,0.03,512;512,512 - 512,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Virginia Tech Carilion School of Medicine and Research Institute,published school average GPA and MCAT,3.7,512,http://medicine.vtc.vt.edu/admissions/,,Virginia Tech Carilion School of Medicine and Research Institute,published school average GPA and MCAT,3.67,512,,source row carried an asterisk,,,,,,,,,,,,
301,Wake Forest School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.76;3.83,3.76 - 3.83,0.07,513;511,511 - 513,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Wake Forest School of Medicine,published school average GPA and MCAT,3.76,513,http://www.wakehealth.edu/School/MD-Program/Admissions/Admissions.htm,,Wake Forest School of Medicine,published school average GPA and MCAT,3.83,511,,,,,,,,,,,,,,
302,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,matchguy,1,single_source,3.83,3.83,,511,511,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,published school average GPA and MCAT,3.83,511,,,,,,,,
303,Wake Forest University,cycletrack_acceptance_median,1,single_source,3.9,3.9,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Wake Forest University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,514,https://cycletrack.org/explorer/school/Wake Forest,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
304,Washington State University,cycletrack_acceptance_median,1,single_source,3.84;3.89,3.84 - 3.89,0.05,514;514,514 - 514,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Washington State University; Wright State University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84; 3.89,514,https://cycletrack.org/explorer/school/Washington State; https://cycletrack.org/explorer/school/Wright State,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
305,Washington State University Elson S. Floyd College of Medicine,matchguy;shemmassian,2,close_agreement,3.64;3.64,3.64 - 3.64,0,507.9;507.9,507.9 - 507.9,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Washington State University Elson S. Floyd College of Medicine,published school average GPA and MCAT,3.64,507.9,,source row carried an asterisk,Washington State University Elson S. Floyd College of Medicine,published school average GPA and MCAT,3.64,507.9,,,,,,,,
306,Washington University Saint Louis,cycletrack_acceptance_median,1,single_source,3.95,3.95,,523,523,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Washington University Saint Louis,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,523,https://cycletrack.org/explorer/school/Washington University Saint Louis,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
307,Washington University in St. Louis School of Medicine,matchguy,1,single_source,3.92,3.92,,519.19,519.19,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Washington University in St. Louis School of Medicine,published school average GPA and MCAT,3.92,519.19,,,,,,,,
308,Weill Cornell Medical College,prospectivedoctor;shemmassian,2,close_agreement,3.91;3.9,3.9 - 3.91,0.01,519;518,518 - 519,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Weill Cornell Medical College,published school average GPA and MCAT,3.91,519,http://weill.cornell.edu/education/admissions/,,Weill Cornell Medical College,published school average GPA and MCAT,3.9,518,,,,,,,,,,,,,,
309,West Virginia School of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.53;3.73,3.53 - 3.73,0.2,502;507,502 - 507,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,West Virginia School of Osteopathic Medicine,published school average GPA and MCAT,3.53,502,,source row carried an asterisk,,,,,,,West Virginia School of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.73,507,https://cycletrack.org/explorer/school/West Virginia SOM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
310,West Virginia University,cycletrack_acceptance_median,1,single_source,3.8,3.8,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,West Virginia University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.8,514,https://cycletrack.org/explorer/school/West Virginia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
311,Western Michigan University Homer Stryker M.D. School of Medicine,matchguy,1,single_source,3.81,3.81,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Western Michigan University Homer Stryker M.D. School of Medicine,published school average GPA and MCAT,3.81,512,,,,,,,,
312,Western University of Health Sciences,cycletrack_acceptance_median,1,single_source,3.79;3.76,3.76 - 3.79,0.03,512;509,509 - 512,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Western University of Health Sciences,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79; 3.76,512; 509,https://cycletrack.org/explorer/school/Western University - California; https://cycletrack.org/explorer/school/Western University - Oregon,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
313,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,shemmassian,1,single_source,3.82;3.58,3.58 - 3.82,0.24,509;507,507 - 509,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Western University of Health Sciences College of Osteopathic Medicine of the Pacific; Western University of Health Sciences College of Osteopathic Medicine of the Pacific Northwest,published school average GPA and MCAT,3.82; 3.58,509; 507,,,,,,,,,,,,,,
314,William Carey University,cycletrack_acceptance_median,1,single_source,3.79,3.79,,505,505,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,William Carey University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79,505,https://cycletrack.org/explorer/school/William Carey,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
315,Wright State University Boonshoft School of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.73;3.68;3.68,3.68 - 3.73,0.05,508;508.76;508.76,508 - 508.76,0.76,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Wright State University Boonshoft School of Medicine,published school average GPA and MCAT,3.73,508,http://medicine.wright.edu/admissions,,Wright State University Boonshoft School of Medicine,published school average GPA and MCAT,3.68,508.76,,source row carried an asterisk,Wright State University Boonshoft School of Medicine,published school average GPA and MCAT,3.68,508.76,,,,,,,,
316,Yale School of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,minor_conflict,3.93;3.94;3.94;3.93;3.95,3.93 - 3.95,0.02,521;521;521;521;523,521 - 523,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Yale School of Medicine,published school average GPA and MCAT,3.93,521,http://medicine.yale.edu/education/admissions/,,Yale School of Medicine,published school average GPA and MCAT,3.94,521,,,Yale School of Medicine,published school average GPA and MCAT,3.94,521,,,Icahn School of Medicine; Yale School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93; 3.95,521; 523,https://cycletrack.org/explorer/school/Mount Sinai; https://cycletrack.org/explorer/school/Yale,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
