cluster_id,canonical_school_name,school_id,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,recommended_action
213,University of California - Davis School of Medicine,md_university_of_california_davis_school_of_medicine_davis_california,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.85;3.59;3.83;3.86;3.76;3.77;3.72;3.83;3.6;3.83;3.87;3.85;3.72;3.86;3.66;3.83,3.59 - 3.87,0.28,516;508;517;518;517;509;509;516;508;514.4;517;517;509;516;509;514.4,508 - 518,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
215,University of Central Florida College of Medicine,md_university_of_central_florida_college_of_medicine_orlando_florida,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.88;3.9;3.89;3.86,3.86 - 3.9,0.04,514;515;514;515;500,500 - 515,15,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
220,University of Connecticut School of Medicine,md_university_of_connecticut_school_of_medicine_farmington_connecticut,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.82;3.8;3.82;3.76;3.75;3.8;3.75;3.8,3.75 - 3.82,0.07,513;505;505;513;507;506;507;506,505 - 513,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
227,University of Illinois College of Medicine,md_university_of_illinois_college_of_medicine_chicago_illinois,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.84;3.82;3.86;3.83;3.84;3.82,3.76 - 3.86,0.1,513;517;511;514;513;512;511,511 - 517,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
229,University of Iowa Carver College of Medicine,,prospectivedoctor;shemmassian,2,minor_conflict,3.85;3.81,3.81 - 3.85,0.04,512;514,512 - 514,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
232,University of Kentucky College of Medicine,md_university_of_kentucky_college_of_medicine_lexington_kentucky,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.81;3.84;3.83,3.81 - 3.84,0.03,508;508;506,506 - 508,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
236,University of Massachusetts Medical School,,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.82;3.76;3.87,3.76 - 3.87,0.11,516;511;512,511 - 516,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
238,University of Miami Miller School of Medicine,,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.86;3.89;3.86;3.78;3.8;3.73;3.85;3.8,3.73 - 3.89,0.16,505;509;509;516;507;506;508;516;506,505 - 516,11,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
240,University of Michigan Medical School,md_university_of_michigan_medical_school_ann_arbor_michigan,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.87;3.85;3.85,3.85 - 3.87,0.02,518;516,516 - 518,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
242,University of Minnesota Medical School - Twin Cities,,prospectivedoctor;shemmassian,2,major_conflict,3.81;3.65;3.84;3.77,3.65 - 3.84,0.19,513;503;511;511.1,503 - 513,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
246,University of Missouri - Columbia School of Medicine,md_university_of_missouri_columbia_school_of_medicine_columbia_missouri,matchguy;shemmassian,2,major_conflict,3.83;3.78;3.84,3.78 - 3.84,0.06,509;506;511,506 - 511,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
248,University of Nebraska College of Medicine,md_university_of_nebraska_college_of_medicine_omaha_nebraska,matchguy;prospectivedoctor,2,major_conflict,3.9,3.9,,513;507,507 - 513,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
256,University of North Carolina at Chapel Hill School of Medicine,,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.78;3.79;3.79,3.78 - 3.79,0.01,515;512;514,512 - 515,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
266,University of Rochester School of Medicine and Dentistry,md_university_of_rochester_school_of_medicine_and_dentistry_rochester_new_york,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.84;3.6;3.43,3.43 - 3.84,0.41,518;517;517,517 - 518,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
268,University of South Alabama College of Medicine,,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.91;3.85;3.85;3.79;3,3 - 3.91,0.91,511;511;508;511,508 - 511,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
269,University of South Carolina School of Medicine - Columbia,,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.83;3.81;3.77;3.75;3.77,3.75 - 3.83,0.08,510;509;508;509;508;509,508 - 510,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
270,University of South Dakota Sanford School of Medicine,md_university_of_south_dakota_sanford_school_of_medicine_vermillion_south_dakota,prospectivedoctor;shemmassian,2,minor_conflict,3.87;3.79,3.79 - 3.87,0.08,509;508.3,508.3 - 509,0.7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
271,University of South Florida Health Morsani College of Medicine,,prospectivedoctor;shemmassian,2,major_conflict,3.78;3.96,3.78 - 3.96,0.18,517;520,517 - 520,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
281,University of Texas Medical Branch School of Medicine,,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.88;3.78;3.8,3.78 - 3.88,0.1,511;512;511,511 - 512,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
282,University of Texas Rio Grande Valley School of Medicine,md_university_of_texas_rio_grande_valley_school_of_medicine_edinburg_texas,prospectivedoctor;shemmassian,2,major_conflict,3.72;3.85,3.72 - 3.85,0.13,510;509,509 - 510,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
283,University of Texas School of Medicine at San Antonio,,prospectivedoctor;shemmassian,2,minor_conflict,3.88;3.9,3.88 - 3.9,0.02,517;518.6,517 - 518.6,1.6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
284,University of Texas Southwestern Medical School,md_university_of_texas_southwestern_medical_school_dallas_texas,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.9;3.96;3.89,3.89 - 3.96,0.07,518;517;516,516 - 518,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
