severity,file,row_id,field,message,suggested_fix
warning,data/manual/admissions_source_queue.csv,md_university_of_california_riverside_school_of_medicine_riverside_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_california_san_diego_school_of_medicine_san_diego_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_california_san_francisco_school_of_medicine_san_francisco_californ,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_colorado_school_of_medicine_denver_colorado,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_connecticut_school_of_medicine_farmington_connecticut,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_yale_school_of_medicine_new_haven_connecticut,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_frank_h_netter_md_school_of_medicine_at_quinnipiac_university_north_haven_connec,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_george_washington_university_school_of_medicine_and_health_sciences_washington_d,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_georgetown_university_school_of_medicine_washington_district_of_columbia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_howard_university_college_of_medicine_washington_district_of_columbia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_nova_southeastern_university_dr_kiran_c_patel_college_of_allopathic_medicine_for,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_florida_college_of_medicine_gainesville_florida,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_miami_leonard_m_miller_school_of_medicine_miami_florida,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_central_florida_college_of_medicine_orlando_florida,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_florida_state_university_college_of_medicine_tallahassee_florida,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_usf_health_morsani_college_of_medicine_tampa_florida,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_georgia_school_of_medicine_athens_georgia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_emory_university_school_of_medicine_atlanta_georgia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_morehouse_school_of_medicine_atlanta_georgia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_medical_college_of_georgia_at_augusta_university_augusta_georgia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_mercer_university_school_of_medicine_macon_georgia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_john_a_burns_school_of_medicine_university_of_hawaii_at_manoa_honolulu_hawaii,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_northwestern_university_feinberg_school_of_medicine_chicago_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_rush_medical_college_of_rush_university_medical_center_chicago_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_chicago_division_of_the_biological_sciences_the_pritzker_school_of,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_illinois_college_of_medicine_chicago_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_loyola_university_chicago_stritch_school_of_medicine_maywood_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_chicago_medical_school_at_rosalind_franklin_university_of_medicine_and_science_n,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_southern_illinois_university_school_of_medicine_springfield_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_carle_illinois_college_of_medicine_urbana_champaign_illinois,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_indiana_university_school_of_medicine_indianapolis_indiana,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_iowa_roy_j_and_lucille_a_carver_college_of_medicine_iowa_city_iowa,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_kansas_school_of_medicine_kansas_city_kansas,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_kentucky_college_of_medicine_lexington_kentucky,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_louisville_school_of_medicine_louisville_kentucky,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_lsu_health_sciences_center_school_of_medicine_in_new_orleans_new_orleans_louisia,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_tulane_university_school_of_medicine_new_orleans_louisiana,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_louisiana_state_university_school_of_medicine_in_shreveport_shreveport_louisiana,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_johns_hopkins_university_school_of_medicine_baltimore_maryland,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_maryland_school_of_medicine_baltimore_maryland,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_uniformed_services_university_of_the_health_sciences_f_edward_h_bert_school_of_m,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_boston_university_aram_v_chobanian_and_edward_avedisian_school_of_medicine_bosto,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_harvard_medical_school_boston_massachusetts,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_tufts_university_school_of_medicine_boston_massachusetts,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_massachusetts_t_h_chan_school_of_medicine_worcester_massachusetts,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_michigan_medical_school_ann_arbor_michigan,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_wayne_state_university_school_of_medicine_detroit_michigan,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_michigan_state_university_college_of_human_medicine_east_lansing_michigan,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_western_michigan_university_homer_stryker_m_d_school_of_medicine_kalamazoo_michi,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_covenant_healthcare_college_of_medicine_at_central_michigan_university_mount_ple,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_oakland_university_william_beaumont_school_of_medicine_rochester_michigan,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_minnesota_medical_school_minneapolis_minnesota,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_mayo_clinic_alix_school_of_medicine_rochester_minnesota,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
